time_stamp,advertising_address,power_level
1697559931.346352,7f:ee:db:b6:27:b6,12
1697559931.347862,74:a0:83:fb:de:c3,12
1697559931.347862,74:a0:83:fb:de:c3,12
1697559931.347862,74:a0:83:fb:de:c3,12
1697559931.363955,68:a6:c5:bc:71:83,7
1697559931.371976,68:a6:c5:bc:71:83,7
1697559931.371976,68:a6:c5:bc:71:83,7
1697559931.38433,5c:cc:3a:bb:44:6a,9
1697559931.396734,43:40:9d:b7:43:28,8
1697559931.404758,43:40:9d:b7:43:28,8
1697559931.405808,43:40:9d:b7:43:28,8
1697559931.446387,7f:f4:e4:2c:f6:a4,6
1697559931.446387,7f:f4:e4:2c:f6:a4,6
1697559931.446387,7f:f4:e4:2c:f6:a4,6
1697559931.497728,7e:5a:6c:04:19:16,7
1697559931.497728,7e:5a:6c:04:19:16,7
1697559931.502744,6a:b4:99:8f:3c:7b,3
1697559931.506269,6a:b4:99:8f:3c:7b,3
1697559931.518799,4a:17:d5:d3:2c:31,8
1697559931.518799,4a:17:d5:d3:2c:31,8
1697559931.526917,4a:17:d5:d3:2c:31,8
1697559931.526917,5e:47:50:19:51:66,4
1697559931.526917,5e:47:50:19:51:66,4
1697559931.551649,72:0a:f0:cf:c8:5c,8
1697559931.567984,4b:21:9f:41:5b:82,12
1697559931.576003,4b:21:9f:41:5b:82,12
1697559931.633199,7a:56:92:d9:93:ef,7
1697559931.641217,7a:56:92:d9:93:ef,7
1697559931.641217,7a:56:92:d9:93:ef,7
1697559931.657943,70:ec:b9:0c:e9:d0,7
1697559931.659106,70:ec:b9:0c:e9:d0,7
1697559931.661652,70:ec:b9:0c:e9:d0,7
1697559931.674188,7f:ee:db:b6:27:b6,12
1697559931.674188,7f:ee:db:b6:27:b6,12
1697559931.678377,7f:ee:db:b6:27:b6,12
1697559931.698854,50:c5:40:32:85:d8,8
1697559931.698854,50:c5:40:32:85:d8,8
1697559931.714849,50:c5:40:32:85:d8,8
1697559931.771207,5f:be:24:61:e2:52,7
1697559931.771207,5f:be:24:61:e2:52,7
1697559931.779582,5f:be:24:61:e2:52,7
1697559931.78783,52:2e:e7:a6:73:4b,7
1697559931.78783,52:2e:e7:a6:73:4b,7
1697559931.795849,52:2e:e7:a6:73:4b,7
1697559931.795849,4e:c0:7f:3f:39:8c,7
1697559931.803856,7f:f4:e4:2c:f6:a4,6
1697559931.811844,7f:f4:e4:2c:f6:a4,6
1697559931.81572,7f:f4:e4:2c:f6:a4,6
1697559931.820233,65:02:2d:d2:42:00,8
1697559931.830428,65:02:2d:d2:42:00,8
1697559931.877533,7e:5a:6c:04:19:16,7
1697559931.879561,7e:5a:6c:04:19:16,7
1697559931.885124,7e:5a:6c:04:19:16,7
1697559931.909481,6a:b4:99:8f:3c:7b,3
1697559931.917976,4a:17:d5:d3:2c:31,8
1697559931.950435,72:0a:f0:cf:c8:5c,8
1697559931.950435,72:0a:f0:cf:c8:5c,8
1697559931.950435,72:0a:f0:cf:c8:5c,8
1697559931.974693,4b:21:9f:41:5b:82,12
1697559931.982692,4b:21:9f:41:5b:82,12
1697559931.982692,4b:21:9f:41:5b:82,12
1697559932.002543,72:43:e4:91:6c:8d,8
1697559932.005236,72:43:e4:91:6c:8d,8
1697559932.007248,70:43:e4:91:6c:8d,8
1697559932.031728,7a:56:92:d9:93:ef,7
1697559932.038279,7a:56:92:d9:93:ef,7
1697559932.040042,7a:56:92:d9:93:ef,7
1697559932.040042,72:22:60:83:08:37,-56
1697559932.056717,70:ec:b9:0c:e9:d0,7
1697559932.056717,70:ec:b9:0c:e9:d0,7
1697559932.056717,70:ec:b9:0c:e9:d0,7
1697559932.068231,7f:ee:db:b6:27:b6,12
1697559932.075843,7f:ee:db:b6:27:b6,12
1697559932.075843,7f:ee:db:b6:27:b6,12
